rdfid,concept,weight,direction,content_type,topic_name,order
TableDrop1,SimpleSubQuery,1,1,example,"Table Deletion and Alteration",30
TableAlteration2,DropColumnClause,1,0,example,"Table Deletion and Alteration",30
TableAlteration1,AlterTableClause,1,0,example,"Table Deletion and Alteration",30
TableDrop1,DeleteTableClause,1,0,example,"Table Deletion and Alteration",30
TableAlteration2,AlterTableClause,1,0,example,"Table Deletion and Alteration",30
TableAlteration1,AttributeName,1,0,example,"Table Deletion and Alteration",30
TableAlteration1,RangeTest,1,1,example,"Table Deletion and Alteration",30
TableAlteration2,RangeTest,1,1,example,"Table Deletion and Alteration",30
TableAlteration1,AddColumnClause,1,0,example,"Table Deletion and Alteration",30
TableCreation4,OnUpdateClause,1,0,example,"Key Constraints",50
TableCreation3,UniqueKeyConstraint,1,0,example,"Key Constraints",50
TableCreation4,CascadeOnReferentialAction,1,0,example,"Key Constraints",50
TableCreation2,AttributeName,1,0,example,"Key Constraints",50
TableCreation4,CommaCharacter,1,0,example,"Key Constraints",50
TableCreation2,BracketCharacter,1,0,example,"Key Constraints",50
TableCreation4,SubQuery,1,1,example,"Key Constraints",50
TableCreation2,SubQuery,1,1,example,"Key Constraints",50
TableCreation9,NotNullClause,1,0,example,"Key Constraints",50
TableCreation4,NotNullConstraint,1,1,example,"Key Constraints",50
TableCreation9,CommaCharacter,1,0,example,"Key Constraints",50
TableCreation3,CreateTableStatement,1,0,example,"Key Constraints",50
TableCreation9,TupleSelectionCondition,1,1,example,"Key Constraints",50
TableCreation3,AttributeSpecification,1,0,example,"Key Constraints",50
TableCreation4,IntegrityOnUpdate,1,0,example,"Key Constraints",50
TableCreation3,UniqueConstraint,1,0,example,"Key Constraints",50
TableCreation4,PrimaryKeyConstraint,1,0,example,"Key Constraints",50
TableCreation3,TupleSelectionCondition,1,1,example,"Key Constraints",50
TableCreation4,BracketCharacter,1,0,example,"Key Constraints",50
TableCreation2,FixedLengthCharacterString,1,0,example,"Key Constraints",50
TableCreation4,SetNullOnReferentialAction,1,0,example,"Key Constraints",50
TableCreation2,CreateTableClause,1,0,example,"Key Constraints",50
TableCreation4,TupleSelectionCondition,1,1,example,"Key Constraints",50
TableCreation9,AttributeSpecification,1,0,example,"Key Constraints",50
TableCreation4,NullValue,1,1,example,"Key Constraints",50
TableCreation9,UniqueKeyConstraint,1,0,example,"Key Constraints",50
TableCreation3,PrimaryKeyConstraint,1,0,example,"Key Constraints",50
TableCreation4,OnDeleteClause,1,0,example,"Key Constraints",50
TableCreation3,CommaCharacter,1,0,example,"Key Constraints",50
TableCreation4,NotNullConstraint,1,0,example,"Key Constraints",50
TableCreation4,ForeignKeyConstraint,1,0,example,"Key Constraints",50
TableCreation3,ExceptionOfTupleSetWithDuplicate,1,1,example,"Key Constraints",50
TableCreation4,FixedLengthCharacterString,1,0,example,"Key Constraints",50
TableCreation2,CreateTableStatement,1,0,example,"Key Constraints",50
TableCreation4,PrimaryKeyClause,1,0,example,"Key Constraints",50
TableCreation2,CommaCharacter,1,0,example,"Key Constraints",50
TableCreation4,CaseChanging,1,1,example,"Key Constraints",50
TableCreation2,TupleSelectionCondition,1,1,example,"Key Constraints",50
TableCreation9,PrimaryKeyConstraint,1,0,example,"Key Constraints",50
TableCreation4,Rule,1,1,example,"Key Constraints",50
TableCreation9,PrimaryKeyClause,1,0,example,"Key Constraints",50
TableCreation3,NotNullClause,1,0,example,"Key Constraints",50
TableCreation9,EquiJoin,1,1,example,"Key Constraints",50
TableCreation3,BracketCharacter,1,0,example,"Key Constraints",50
TableCreation4,CreateTableStatement,1,0,example,"Key Constraints",50
TableCreation3,CreateTableClause,1,0,example,"Key Constraints",50
TableCreation4,ReferencesClause,1,0,example,"Key Constraints",50
TableCreation3,Rule,1,1,example,"Key Constraints",50
TableCreation4,IntegrityOnDelete,1,0,example,"Key Constraints",50
TableCreation2,AttributeSpecification,1,0,example,"Key Constraints",50
TableCreation4,CreateTableClause,1,0,example,"Key Constraints",50
TableCreation2,UniqueKeyConstraint,1,0,example,"Key Constraints",50
TableCreation9,CreateTableStatement,1,0,example,"Key Constraints",50
TableCreation4,AggregateOperation,1,1,example,"Key Constraints",50
TableCreation9,BracketCharacter,1,0,example,"Key Constraints",50
TableCreation3,AttributeName,1,0,example,"Key Constraints",50
TableCreation9,SubQuery,1,1,example,"Key Constraints",50
TableCreation3,FixedLengthCharacterString,1,0,example,"Key Constraints",50
TableCreation4,AttributeName,1,0,example,"Key Constraints",50
TableCreation3,PrimaryKeyClause,1,0,example,"Key Constraints",50
TableCreation4,DefaultValueClause,1,0,example,"Key Constraints",50
TableCreation4,NotNullClause,1,0,example,"Key Constraints",50
TableCreation3,SubQuery,1,1,example,"Key Constraints",50
TableCreation4,AttributeSpecification,1,0,example,"Key Constraints",50
TableCreation2,PrimaryKeyConstraint,1,0,example,"Key Constraints",50
TableCreation4,ForeignKeyClause,1,0,example,"Key Constraints",50
TableCreation2,PrimaryKeyClause,1,0,example,"Key Constraints",50
TableCreation4,OrLogicOperation,1,1,example,"Key Constraints",50
TableCreation2,Rule,1,1,example,"Key Constraints",50
TableCreation9,FixedLengthCharacterString,1,0,example,"Key Constraints",50
TableCreation4,IntegrityConstraint,1,1,example,"Key Constraints",50
TableCreation9,CreateTableClause,1,0,example,"Key Constraints",50
TableCreation3,NotNullConstraint,1,0,example,"Key Constraints",50
TableCreation9,Rule,1,1,example,"Key Constraints",50
TableCreation3,UniqueClause,1,0,example,"Key Constraints",50
TableCreation6,DataManipulationLanguage,1,1,example,"General Constraints",70
TableCreation7,SelectClause,1,0,example,"General Constraints",70
TableCreation5,Rule,1,1,example,"General Constraints",70
TableCreation7,UniqueKeyConstraint,1,0,example,"General Constraints",70
TableCreation8,Assertion,1,0,example,"General Constraints",70
TableCreation5,NotEqualComparison,1,0,example,"General Constraints",70
TableCreation7,Rule,1,1,example,"General Constraints",70
TableCreation8,SingleTableSelection,1,0,example,"General Constraints",70
TableCreation5,PrimaryKeyConstraint,1,0,example,"General Constraints",70
TableCreation6,CreateTableStatement,1,0,example,"General Constraints",70
TableCreation8,Float,1,1,example,"General Constraints",70
TableCreation5,AttributeSpecification,1,0,example,"General Constraints",70
TableCreation6,GreaterThanOrEqualComparison,1,0,example,"General Constraints",70
TableCreation7,FromClause,1,0,example,"General Constraints",70
TableCreation5,PrimaryKeyClause,1,0,example,"General Constraints",70
TableCreation6,CommaCharacter,1,0,example,"General Constraints",70
TableCreation7,Integer,1,0,example,"General Constraints",70
TableCreation5,SingleTableSelection,1,0,example,"General Constraints",70
TableCreation6,TupleSelectionCondition,1,1,example,"General Constraints",70
TableCreation7,AdditionExpression,1,0,example,"General Constraints",70
TableCreation5,TupleSelectionCondition,1,1,example,"General Constraints",70
TableCreation7,CreateTableClause,1,0,example,"General Constraints",70
TableCreation8,LessThanComparison,1,0,example,"General Constraints",70
TableCreation6,FixedLengthCharacterString,1,1,example,"General Constraints",70
TableCreation7,TupleSelectionCondition,1,1,example,"General Constraints",70
TableCreation8,CountDistinctFunction,1,0,example,"General Constraints",70
TableCreation5,SelectStatement,1,0,example,"General Constraints",70
TableCreation5,CheckConstraint,1,0,example,"General Constraints",70
TableCreation6,AndLogicalOperator,1,0,example,"General Constraints",70
TableCreation7,SQLBasicConcept,1,1,example,"General Constraints",70
TableCreation8,TableAlteration,1,1,example,"General Constraints",70
TableCreation6,PrimaryKeyConstraint,1,0,example,"General Constraints",70
TableCreation7,AttributeName,1,0,example,"General Constraints",70
TableCreation5,SelectClause,1,0,example,"General Constraints",70
TableCreation6,AttributeSpecification,1,0,example,"General Constraints",70
TableCreation7,Double,1,0,example,"General Constraints",70
TableCreation5,CreateTableClause,1,0,example,"General Constraints",70
TableCreation6,UniqueKeyConstraint,1,0,example,"General Constraints",70
TableCreation7,AttributeSpecification,1,0,example,"General Constraints",70
TableCreation5,SubQuery,1,1,example,"General Constraints",70
TableCreation6,Rule,1,1,example,"General Constraints",70
TableCreation7,PrimaryKeyClause,1,0,example,"General Constraints",70
TableCreation5,DatabaseManagement,1,1,example,"General Constraints",70
TableCreation7,SubQuery,1,1,example,"General Constraints",70
TableCreation8,AdditionExpression,1,0,example,"General Constraints",70
TableCreation5,CreateTableStatement,1,0,example,"General Constraints",70
TableCreation7,TableAlteration,1,1,example,"General Constraints",70
TableCreation8,TableAlias,1,0,example,"General Constraints",70
TableCreation6,LessThanOrEqualComparison,1,0,example,"General Constraints",70
TableCreation8,SQLBasicConcept,1,1,example,"General Constraints",70
TableCreation5,BracketCharacter,1,0,example,"General Constraints",70
TableCreation6,CheckConstraint,1,0,example,"General Constraints",70
TableCreation7,SelectStatement,1,0,example,"General Constraints",70
TableCreation5,WhereClause,1,0,example,"General Constraints",70
TableCreation6,PrimaryKeyClause,1,0,example,"General Constraints",70
TableCreation7,CheckConstraint,1,0,example,"General Constraints",70
TableCreation5,TableAlias,1,0,example,"General Constraints",70
TableCreation6,Average,1,1,example,"General Constraints",70
TableCreation7,CommaCharacter,1,0,example,"General Constraints",70
TableCreation5,MultipleTableSelection,1,1,example,"General Constraints",70
TableCreation7,SingleTableSelection,1,0,example,"General Constraints",70
TableCreation8,BracketCharacter,1,0,example,"General Constraints",70
TableCreation5,AttributeName,1,0,example,"General Constraints",70
TableCreation7,Assertion,1,1,example,"General Constraints",70
TableCreation8,SingleAttributeSelection,1,0,example,"General Constraints",70
TableCreation5,Date,1,0,example,"General Constraints",70
TableCreation6,AttributeName,1,0,example,"General Constraints",70
TableCreation8,DatabaseManagement,1,1,example,"General Constraints",70
TableCreation5,FixedLengthCharacterString,1,0,example,"General Constraints",70
TableCreation6,Integer,1,0,example,"General Constraints",70
TableCreation7,CreateTableStatement,1,0,example,"General Constraints",70
TableCreation5,DotCharacter,1,0,example,"General Constraints",70
TableCreation6,BracketCharacter,1,0,example,"General Constraints",70
TableCreation7,PrimaryKeyConstraint,1,0,example,"General Constraints",70
TableCreation5,EqualComparison,1,0,example,"General Constraints",70
TableCreation6,SubQuery,1,1,example,"General Constraints",70
TableCreation7,BracketCharacter,1,0,example,"General Constraints",70
TableCreation5,SubstringExtraction,1,1,example,"General Constraints",70
TableCreation6,DatabaseManagement,1,1,example,"General Constraints",70
TableCreation7,SingleAttributeSelection,1,0,example,"General Constraints",70
TableCreation8,FromClause,1,0,example,"General Constraints",70
TableCreation7,SubstringExtraction,1,1,example,"General Constraints",70
TableCreation8,SelectClause,1,0,example,"General Constraints",70
TableCreation5,FromClause,1,0,example,"General Constraints",70
TableCreation5,Integer,1,0,example,"General Constraints",70
TableCreation6,Float,1,0,example,"General Constraints",70
TableCreation7,DatabaseManagement,1,1,example,"General Constraints",70
TableCreation8,AggregateOperation,1,1,example,"General Constraints",70
TableCreation6,Double,1,0,example,"General Constraints",70
TableCreation7,Float,1,0,example,"General Constraints",70
TableCreation5,CommaCharacter,1,0,example,"General Constraints",70
TableCreation6,FixedLengthCharacterString,1,0,example,"General Constraints",70
TableCreation7,LessThanOrEqualComparison,1,0,example,"General Constraints",70
TableCreation5,SingleAttributeSelection,1,0,example,"General Constraints",70
TableCreation6,CreateTableClause,1,0,example,"General Constraints",70
TableCreation7,FixedLengthCharacterString,1,0,example,"General Constraints",70
TableCreation5,UniqueKeyConstraint,1,0,example,"General Constraints",70
DataInsertion1,AttributeName,1,0,example,"Tuple Insertion",80
DataInsertion4,ReferentialAction,1,1,example,"Tuple Insertion",80
DataInsertion1,StringType,1,0,example,"Tuple Insertion",80
DataInsertion3,SelectStatement,1,0,example,"Tuple Insertion",80
DataInsertion4,FromClause,1,0,example,"Tuple Insertion",80
DataInsertion1,SubQuery,1,1,example,"Tuple Insertion",80
DataInsertion3,CommaCharacter,1,0,example,"Tuple Insertion",80
DataInsertion4,StringType,1,0,example,"Tuple Insertion",80
DataInsertion3,SetOperation,1,1,example,"Tuple Insertion",80
DataInsertion2,AttributeName,1,0,example,"Tuple Insertion",80
DataInsertion4,InsertIntoClause,1,0,example,"Tuple Insertion",80
DataInsertion2,StringType,1,0,example,"Tuple Insertion",80
DataInsertion4,WhereClause,1,0,example,"Tuple Insertion",80
DataInsertion2,SubQuery,1,1,example,"Tuple Insertion",80
DataInsertion4,SubQuery,1,1,example,"Tuple Insertion",80
DataInsertion1,InsertStatement,1,0,example,"Tuple Insertion",80
DataInsertion3,SingleQuotationCharacter,1,0,example,"Tuple Insertion",80
DataInsertion4,AttributeName,1,0,example,"Tuple Insertion",80
DataInsertion1,CommaCharacter,1,0,example,"Tuple Insertion",80
DataInsertion3,StringType,1,0,example,"Tuple Insertion",80
DataInsertion4,MultipleAttributeSelection,1,0,example,"Tuple Insertion",80
DataInsertion3,EqualComparison,1,0,example,"Tuple Insertion",80
DataInsertion3,Deletion,1,1,example,"Tuple Insertion",80
DataInsertion2,InsertStatement,1,0,example,"Tuple Insertion",80
DataInsertion4,SelectClause,1,0,example,"Tuple Insertion",80
DataInsertion2,CommaCharacter,1,0,example,"Tuple Insertion",80
DataInsertion4,SetOperation,1,1,example,"Tuple Insertion",80
DataInsertion1,SingleQuotationCharacter,1,0,example,"Tuple Insertion",80
DataInsertion4,FixedLengthCharacterString,1,1,example,"Tuple Insertion",80
DataInsertion1,InsertIntoClause,1,0,example,"Tuple Insertion",80
DataInsertion3,MultipleAttributeSelection,1,0,example,"Tuple Insertion",80
DataInsertion4,SelectStatement,1,0,example,"Tuple Insertion",80
DataInsertion1,Deletion,1,1,example,"Tuple Insertion",80
DataInsertion3,SelectClause,1,0,example,"Tuple Insertion",80
DataInsertion3,SubQueryCheckingDuplicateTuples,1,1,example,"Tuple Insertion",80
DataInsertion2,SingleQuotationCharacter,1,0,example,"Tuple Insertion",80
DataInsertion4,MultipleTableSelection,1,0,example,"Tuple Insertion",80
DataInsertion2,InsertIntoClause,1,0,example,"Tuple Insertion",80
DataInsertion4,EqualComparison,1,0,example,"Tuple Insertion",80
DataInsertion2,Deletion,1,1,example,"Tuple Insertion",80
DataInsertion4,Deletion,1,1,example,"Tuple Insertion",80
DataInsertion1,ValuesClause,1,0,example,"Tuple Insertion",80
DataInsertion3,FromClause,1,0,example,"Tuple Insertion",80
DataInsertion4,SingleQuotationCharacter,1,0,example,"Tuple Insertion",80
DataInsertion1,SubQueryCheckingDuplicateTuples,1,1,example,"Tuple Insertion",80
DataInsertion3,InsertIntoClause,1,0,example,"Tuple Insertion",80
DataInsertion4,InsertStatement,1,0,example,"Tuple Insertion",80
DataInsertion3,SingleTableSelection,1,0,example,"Tuple Insertion",80
DataInsertion3,ReferentialAction,1,1,example,"Tuple Insertion",80
DataInsertion2,ValuesClause,1,0,example,"Tuple Insertion",80
DataInsertion4,DotCharacter,1,0,example,"Tuple Insertion",80
DataInsertion2,SubQueryCheckingDuplicateTuples,1,1,example,"Tuple Insertion",80
DataInsertion4,SubQueryCheckingDuplicateTuples,1,1,example,"Tuple Insertion",80
DataInsertion1,NumericType,1,0,example,"Tuple Insertion",80
DataInsertion3,AttributeName,1,0,example,"Tuple Insertion",80
DataInsertion4,AndLogicalOperator,1,0,example,"Tuple Insertion",80
DataInsertion1,BracketCharacter,1,0,example,"Tuple Insertion",80
DataInsertion3,InsertStatement,1,0,example,"Tuple Insertion",80
DataInsertion4,EquiWhereJoin,1,0,example,"Tuple Insertion",80
DataInsertion3,WhereClause,1,0,example,"Tuple Insertion",80
DataInsertion3,SubQuery,1,1,example,"Tuple Insertion",80
DataInsertion2,NumericType,1,0,example,"Tuple Insertion",80
DataInsertion4,CommaCharacter,1,0,example,"Tuple Insertion",80
DataInsertion2,BracketCharacter,1,0,example,"Tuple Insertion",80
DataInsertion4,TableAlias,1,0,example,"Tuple Insertion",80
DataDeletion3,AggregateOperation,1,1,example,"Tuple Deletion",100
DataDeletion1,SetOperation,1,1,example,"Tuple Deletion",100
DataDeletion2,FromClause,1,0,example,"Tuple Deletion",100
DataDeletion2,BracketCharacter,1,0,example,"Tuple Deletion",100
DataDeletion2,DeleteStatement,1,0,example,"Tuple Deletion",100
DataDeletion2,SubstringExtraction,1,1,example,"Tuple Deletion",100
DataDeletion3,FromClause,1,0,example,"Tuple Deletion",100
DataDeletion3,SelectClause,1,0,example,"Tuple Deletion",100
DataDeletion1,SingleQuotationCharacter,1,0,example,"Tuple Deletion",100
DataDeletion3,SetOperation,1,1,example,"Tuple Deletion",100
DataDeletion1,DeleteStatement,1,0,example,"Tuple Deletion",100
DataDeletion2,AttributeName,1,0,example,"Tuple Deletion",100
DataDeletion2,InPredicate,1,0,example,"Tuple Deletion",100
DataDeletion2,SingleAttributeSelection,1,0,example,"Tuple Deletion",100
DataDeletion2,SetOperation,1,1,example,"Tuple Deletion",100
DataDeletion3,AvgFunction,1,0,example,"Tuple Deletion",100
DataDeletion2,KeyConstraint,1,1,example,"Tuple Deletion",100
DataDeletion3,DeleteFromClause,1,0,example,"Tuple Deletion",100
DataDeletion3,DeleteStatement,1,0,example,"Tuple Deletion",100
DataDeletion1,WhereClause,1,0,example,"Tuple Deletion",100
DataDeletion3,KeyConstraint,1,1,example,"Tuple Deletion",100
DataDeletion1,KeyConstraint,1,1,example,"Tuple Deletion",100
DataDeletion2,SelectStatement,1,0,example,"Tuple Deletion",100
DataDeletion2,SelectClause,1,0,example,"Tuple Deletion",100
DataDeletion2,SingleTableSelection,1,0,example,"Tuple Deletion",100
DataDeletion2,ToUpperCase,1,1,example,"Tuple Deletion",100
DataDeletion3,LessThanComparison,1,0,example,"Tuple Deletion",100
DataDeletion3,WhereClause,1,0,example,"Tuple Deletion",100
DataDeletion1,DeleteFromClause,1,0,example,"Tuple Deletion",100
DataDeletion3,SubstringExtraction,1,1,example,"Tuple Deletion",100
DataDeletion1,SingleTableSelection,1,0,example,"Tuple Deletion",100
DataDeletion2,SingleQuotationCharacter,1,0,example,"Tuple Deletion",100
DataDeletion2,StringType,1,0,example,"Tuple Deletion",100
DataDeletion2,EqualComparison,1,0,example,"Tuple Deletion",100
DataDeletion2,SubQueryCheckingDuplicateTuples,1,1,example,"Tuple Deletion",100
DataDeletion3,AttributeName,1,0,example,"Tuple Deletion",100
DataDeletion3,BracketCharacter,1,0,example,"Tuple Deletion",100
DataDeletion1,AttributeName,1,0,example,"Tuple Deletion",100
DataDeletion3,SingleTableSelection,1,0,example,"Tuple Deletion",100
DataDeletion1,EqualComparison,1,0,example,"Tuple Deletion",100
DataDeletion3,Timestamp,1,1,example,"Tuple Deletion",100
DataDeletion2,DeleteFromClause,1,0,example,"Tuple Deletion",100
DataDeletion2,WhereClause,1,0,example,"Tuple Deletion",100
DataDeletion2,SimpleSubquery,1,0,example,"Tuple Deletion",100
DataDeletion2,ReferentialAction,1,1,example,"Tuple Deletion",100
DataDeletion3,SelectStatement,1,0,example,"Tuple Deletion",100
DataDeletion3,SingleAttributeSelection,1,0,example,"Tuple Deletion",100
DataDeletion1,StringType,1,0,example,"Tuple Deletion",100
DataUpdate5,SelectStatement,1,0,example,"Tuple Update",120
DataUpdate1,WhereClause,1,0,example,"Tuple Update",120
DataUpdate2,SubtractionExpression,1,0,example,"Tuple Update",120
DataUpdate5,SetClause,1,0,example,"Tuple Update",120
DataUpdate1,UnionOfTwoTupleSets,1,1,example,"Tuple Update",120
DataUpdate2,EqualComparison,1,0,example,"Tuple Update",120
DataUpdate5,SimpleSubquery,1,0,example,"Tuple Update",120
DataUpdate3,MultiplicationExpression,1,0,example,"Tuple Update",120
DataUpdate2,UnionOfTwoTupleSets,1,1,example,"Tuple Update",120
DataUpdate5,Assertion,1,1,example,"Tuple Update",120
DataUpdate3,GroupBy,1,1,example,"Tuple Update",120
DataUpdate2,SetOperation,1,1,example,"Tuple Update",120
DataUpdate4,NumericType,1,0,example,"Tuple Update",120
DataUpdate1,UpdateClause,1,0,example,"Tuple Update",120
DataUpdate4,WhereClause,1,0,example,"Tuple Update",120
DataUpdate5,DistinctClause,1,0,example,"Tuple Update",120
DataUpdate1,SetClause,1,0,example,"Tuple Update",120
DataUpdate2,UpdateStatement,1,0,example,"Tuple Update",120
DataUpdate5,GreaterThanComparison,1,0,example,"Tuple Update",120
DataUpdate1,GroupBy,1,1,example,"Tuple Update",120
DataUpdate2,DotCharacter,1,0,example,"Tuple Update",120
DataUpdate5,SingleAttributeSelection,1,0,example,"Tuple Update",120
DataUpdate1,DataManipulationLanguage,1,1,example,"Tuple Update",120
DataUpdate2,GroupBy,1,1,example,"Tuple Update",120
DataUpdate5,SubstringExtraction,1,1,example,"Tuple Update",120
DataUpdate3,SetClause,1,0,example,"Tuple Update",120
DataUpdate4,UpdateClause,1,0,example,"Tuple Update",120
DataUpdate2,FixedLengthCharacterString,1,1,example,"Tuple Update",120
DataUpdate4,CommaCharacter,1,0,example,"Tuple Update",120
DataUpdate5,UpdateClause,1,0,example,"Tuple Update",120
DataUpdate1,NumericType,1,0,example,"Tuple Update",120
DataUpdate4,ToUpperCase,1,1,example,"Tuple Update",120
DataUpdate5,NumericType,1,0,example,"Tuple Update",120
DataUpdate1,SingleTableSelection,1,0,example,"Tuple Update",120
DataUpdate2,AdditionExpression,1,0,example,"Tuple Update",120
DataUpdate5,SelectClause,1,0,example,"Tuple Update",120
DataUpdate1,SetOperation,1,1,example,"Tuple Update",120
DataUpdate2,SingleTableSelection,1,0,example,"Tuple Update",120
DataUpdate5,GroupBy,1,1,example,"Tuple Update",120
DataUpdate3,UpdateStatement,1,0,example,"Tuple Update",120
DataUpdate5,IntegrityOnUpdate,1,1,example,"Tuple Update",120
DataUpdate3,CombinationWithAll,1,1,example,"Tuple Update",120
DataUpdate2,LessThanComparison,1,1,example,"Tuple Update",120
DataUpdate4,InPredicate,1,0,example,"Tuple Update",120
DataUpdate1,MultiplicationExpression,1,0,example,"Tuple Update",120
DataUpdate4,SingleTableSelection,1,0,example,"Tuple Update",120
DataUpdate5,FromClause,1,0,example,"Tuple Update",120
DataUpdate1,DotCharacter,1,0,example,"Tuple Update",120
DataUpdate2,NumericType,1,0,example,"Tuple Update",120
DataUpdate5,AdditionExpression,1,0,example,"Tuple Update",120
DataUpdate1,CombinationWithAll,1,1,example,"Tuple Update",120
DataUpdate2,WhereClause,1,0,example,"Tuple Update",120
DataUpdate5,SingleTableSelection,1,0,example,"Tuple Update",120
DataUpdate3,UpdateClause,1,0,example,"Tuple Update",120
DataUpdate2,CombinationWithAll,1,1,example,"Tuple Update",120
DataUpdate5,ToUpperCase,1,1,example,"Tuple Update",120
DataUpdate3,SingleTableSelection,1,0,example,"Tuple Update",120
DataUpdate4,UpdateStatement,1,0,example,"Tuple Update",120
DataUpdate2,SQLBasicConcept,1,1,example,"Tuple Update",120
DataUpdate4,SetClause,1,0,example,"Tuple Update",120
DataUpdate5,UpdateStatement,1,0,example,"Tuple Update",120
DataUpdate1,GreaterThanOrEqualComparison,1,0,example,"Tuple Update",120
DataUpdate2,UpdateClause,1,0,example,"Tuple Update",120
DataUpdate5,InPredicate,1,0,example,"Tuple Update",120
DataUpdate1,TableAlias,1,0,example,"Tuple Update",120
DataUpdate2,SetClause,1,0,example,"Tuple Update",120
DataUpdate5,WhereClause,1,0,example,"Tuple Update",120
DataUpdate1,NullValueIgnorance,1,1,example,"Tuple Update",120
DataUpdate2,TableAlias,1,0,example,"Tuple Update",120
